filename,subject_id,video_id,duration,num_lang,cohort,video_name,age_in_months,date_tested
00220001_GX030037_07.08.2024-07.14.2024_07.09.2024-12:40pm,00220001,GX030037,192.45,1,ongoing,00220001_GX030037_07.08.2024-07.14.2024_07.09.2024-12:40pm,10.365448504983389,2024-07-09
00220001_GX030039_07.22.2024-07.28.2024_07.22.2024-5:21pm,00220001,GX030039,704.73,1,ongoing,00220001_GX030039_07.22.2024-07.28.2024_07.22.2024-5:21pm,10.79734219269103,2024-07-22
00220001_GX030040_07.29.2024-08.04.2024_07.30.2024-5:53pm,00220001,GX030040,538.45,1,ongoing,00220001_GX030040_07.29.2024-08.04.2024_07.30.2024-5:53pm,11.06312292358804,2024-07-30
00220001_GX030047_09.02.2024-09.08.2024_09.02.2024-NA,00220001,GX030047,295.17,1,ongoing,00220001_GX030047_09.02.2024-09.08.2024_09.02.2024-NA,12.192691029900331,2024-09-02
00220001_GX030055_09.30.2024-10.06.2024_10.05.2024-4:55pm,00220001,GX030055,704.73,1,ongoing,00220001_GX030055_09.30.2024-10.06.2024_10.05.2024-4:55pm,13.289036544850498,2024-10-05
00220001_GX030057_10.07.2024-10.13.2024_10.09.2024-5:56pm,00220001,GX030057,704.73,1,ongoing,00220001_GX030057_10.07.2024-10.13.2024_10.09.2024-5:56pm,13.421926910299003,2024-10-09
00220001_GX030058_10.14.2024-10.20.2024_10.17.2024-5:12pm,00220001,GX030058,491.33,1,ongoing,00220001_GX030058_10.14.2024-10.20.2024_10.17.2024-5:12pm,13.687707641196013,2024-10-17
00220001_GX040001_02.05.2024-02.11.2024_02.05.2024-5:19pm,00220001,GX040001,177.07,1,release_1,00220001_GX040001_02.05.2024-02.11.2024_02.05.2024-5:19pm,5.21594684385382,2024-02-05
00220001_GX040003_02.05.2024-02.11.2024_02.05.2024-1:47pm,00220001,GX040003,193.09,1,release_1,00220001_GX040003_02.05.2024-02.11.2024_02.05.2024-1:47pm,5.21594684385382,2024-02-05
00220001_GX040016_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX040016,401.43,1,release_1,00220001_GX040016_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.2425249169435215,2024-04-06
00220001_GX040031_05.20.2024-05.26.2024_05.26.2024-12:38pm,00220001,GX040031,4.1,1,ongoing,00220001_GX040031_05.20.2024-05.26.2024_05.26.2024-12:38pm,8.903654485049833,2024-05-26
00220001_GX040034_06.10.2024-06.16.2024_06.14.2024-7:11am,00220001,GX040034,19.09,1,ongoing,00220001_GX040034_06.10.2024-06.16.2024_06.14.2024-7:11am,9.534883720930232,2024-06-14
00220001_GX040039_07.22.2024-07.28.2024_07.22.2024-5:21pm,00220001,GX040039,193.77,1,ongoing,00220001_GX040039_07.22.2024-07.28.2024_07.22.2024-5:21pm,10.79734219269103,2024-07-22
00220001_GX040055_09.30.2024-10.06.2024_10.05.2024-4:55pm,00220001,GX040055,49.17,1,ongoing,00220001_GX040055_09.30.2024-10.06.2024_10.05.2024-4:55pm,13.289036544850498,2024-10-05
00220001_GX040057_10.07.2024-10.13.2024_10.09.2024-5:56pm,00220001,GX040057,4.1,1,ongoing,00220001_GX040057_10.07.2024-10.13.2024_10.09.2024-5:56pm,13.421926910299003,2024-10-09
00230001_GX010001_10.30.2023-11.05.2023_11.05.2023-NA,00230001,GX010001,28.4,1,release_1,00230001_GX010001_10.30.2023-11.05.2023_11.05.2023-NA,6.245847176079734,2023-11-05
00230001_GX010002_10.30.2023-11.05.2023_11.05.2023-11:00am,00230001,GX010002,704.73,1,release_1,00230001_GX010002_10.30.2023-11.05.2023_11.05.2023-11:00am,6.245847176079734,2023-11-05
00230001_GX010003_11.13.2023-11.19.2023_11.13.2023-NA,00230001,GX010003,17.22,1,release_1,00230001_GX010003_11.13.2023-11.19.2023_11.13.2023-NA,6.511627906976744,2023-11-13
00230001_GX010004_11.13.2023-11.19.2023_11.13.2023-8:14am,00230001,GX010004,704.73,1,release_1,00230001_GX010004_11.13.2023-11.19.2023_11.13.2023-8:14am,6.511627906976744,2023-11-13
00230001_GX010005_11.13.2023-11.19.2023_11.13.2023-8:14am,00230001,GX010005,1209.13,1,release_1,00230001_GX010005_11.13.2023-11.19.2023_11.13.2023-8:14am,6.511627906976744,2023-11-13
00230001_GX010006_11.13.2023-11.19.2023_11.13.2023-8:14am,00230001,GX010006,86.25,1,release_1,00230001_GX010006_11.13.2023-11.19.2023_11.13.2023-8:14am,6.511627906976744,2023-11-13
00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am,00230001,GX010007,390.72,1,release_1,00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am,6.511627906976744,2023-11-13
00230001_GX010008_01.01.2024-01.07.2024_01.01.2024-1:43pm,00230001,GX010008,704.73,1,release_1,00230001_GX010008_01.01.2024-01.07.2024_01.01.2024-1:43pm,8.13953488372093,2024-01-01
00230001_GX010008_12.04.2023-12.10.2023_12.10.2023-12:20pm,00230001,GX010008,960.98,1,release_1,00230001_GX010008_12.04.2023-12.10.2023_12.10.2023-12:20pm,7.408637873754152,2023-12-10
00230001_GX010009_01.15.2024-01.21.2024_01.20.2024-NA,00230001,GX010009,768.79,1,release_1,00230001_GX010009_01.15.2024-01.21.2024_01.20.2024-NA,8.770764119601328,2024-01-20
00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm,00230001,GX010010,704.73,1,release_1,00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm,10.232558139534882,2024-03-04
00230001_GX010011_04.08.2024-04.14.2024_04.14.2024-NA,00230001,GX010011,960.98,1,release_1,00230001_GX010011_04.08.2024-04.14.2024_04.14.2024-NA,11.59468438538206,2024-04-14
